FatherId,MotherId,Children
32262,31412,32244
32261,30985,32335;32380;32334;32179;32326;32356
32261,129,32346
32257,29891,32259;32258
32256,32088,
32254,31574,32312;32264;32316;32406;32190;32262
32252,30619,32246;32200;32321
32252,128,32209;32376;32305;32248;32375;32261
32250,32373,32382;32230;32268;32345;32288;32253;32354
32249,30796,
32249,31583,32313;32265;32247;32269;32308;32322
32249,0,220
32248,31095,32182;32319;32235;32291;32222
32247,30435,32296
32246,32100,32416;32317;32302;32187
32244,30435,32390;32245;32275
32240,31550,32365;32386;32383;32212;32232;32369
32239,28443,270
32235,30455,32377;32228;32411;32233;32263
32235,32166,32236
32235,32689,
32235,32346,32315
32233,32176,
32233,33165,32234;32218
32233,32360,32329
32232,30618,32402;32400;32360;32378
32232,31327,32350;32267;32404
32228,30647,
32228,32229,
32226,28380,
32226,28481,32241;32349;32238;32295;32237
32223,28406,32243;32224;32389;32219;32186
32223,31276,32225;32385;32328;32277
32222,29184,32362;32398;32223
32222,32325,32361
32216,28373,
32214,0,32215
32214,0,32227
32214,0,32240
32214,0,32300
32214,0,32307
32214,0,32331
32214,0,32384
32214,0,32388
32212,31336,32374
32210,30505,32299;32257;32353;32260
32210,31566,
32209,30889,
32209,49625,32211;32303;32250
32207,29890,32210;32340;32255
32202,30258,32343;30259;32204;32396
32202,28405,32281;32301;32407;32379;32409;32203;32309
32202,28436,
32202,30415,
32200,30889,32367;32201;32408;32415
32199,32611,32183;32314;32216;32352;32336
32199,30635,32401
32198,28437,
32193,29215,32194;32286;32231;32251;32205;32339;32310
32193,31353,32195;32196;32197;32184
32191,31099,32192;32276;32371
32190,30373,32344;32373;32359;32278
32190,127,32193;32191;32202;32306;32338;32294
32189,30644,
32187,31611,32333;32318;32217;32188;32290;32368;32320
32183,30618,
32182,30342,
32180,124,32181
32179,31591,32381;32180;32342;32239;32220
32179,125,
32178,32319,32161;32176
32177,30274,32167;32164;32160;32174
32175,31560,32166;32178;32159;32172;32173;32171;32168
32169,32347,
32167,29231,
32167,30260,
32167,32411,272;271
32162,28190,32435;32156
32157,30466,32162;32177;32170;29633;32169
32154,30274,
32154,32028,31968;32133;31961;32137;32049
32151,27676,32128;32127;32129;32142;32153;32152
32150,28375,
32150,32783,32135;32126;32143;32136
32150,32549,
32148,27887,32154
32148,29918,32044;32043
32147,32768,
32138,30375,32134;32145;32144;32125
32138,27700,32140
32136,30935,
32136,119,
32130,31363,32150;32124;32131;32139
32124,30922,32151
32124,31277,32141
32124,31290,32147;32138
32124,32783,32146
31976,31277,31938;32115
31973,30344,
31972,31416,31833
31971,30378,31970;32114;32097
31969,27722,
31969,27927,31857
31969,32171,31906;32108;32055
31967,30420,
31966,30420,
31964,30258,
31964,29899,
31964,30766,32121;31965
31964,32344,32123
31963,110,32100
31962,29213,
31960,29648,31952;31888;32096;32070
31956,28052,31957
31956,28473,31958
31956,31986,31910;32091;31959;31874;31831
31956,34,
31952,28060,
31952,32091,31954;32090;31953;31951;31948
31946,28042,
31946,32311,
31943,29901,
31941,31114,32029;32061;31942;32065;32083;32002
